P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
Andrey Golubev,Andy Murray,hard,1,1,AD,40,3
Andrey Golubev,Andy Murray,hard,1,1,0,0,3
Andrey Golubev,Andy Murray,hard,2,1,15,0,3
Andrey Golubev,Andy Murray,hard,2,1,30,0,3
Andrey Golubev,Andy Murray,hard,2,2,30,15,3
Andrey Golubev,Andy Murray,hard,2,2,30,30,3
Andrey Golubev,Andy Murray,hard,2,1,40,30,3
Andrey Golubev,Andy Murray,hard,2,2,40,40,3
Andrey Golubev,Andy Murray,hard,2,2,40,AD,3
Andrey Golubev,Andy Murray,hard,2,1,40,40,3
Andrey Golubev,Andy Murray,hard,2,1,AD,40,3
Andrey Golubev,Andy Murray,hard,2,1,0,0,3
Andrey Golubev,Andy Murray,hard,1,2,0,15,3
Andrey Golubev,Andy Murray,hard,1,1,15,15,3
Andrey Golubev,Andy Murray,hard,1,2,15,30,3
Andrey Golubev,Andy Murray,hard,1,1,30,30,3
Andrey Golubev,Andy Murray,hard,1,2,30,40,3
Andrey Golubev,Andy Murray,hard,1,2,0,0,3
Andrey Golubev,Andy Murray,hard,2,1,15,0,3
Andrey Golubev,Andy Murray,hard,2,2,15,15,3
Andrey Golubev,Andy Murray,hard,2,1,30,15,3
Andrey Golubev,Andy Murray,hard,2,2,30,30,3
Andrey Golubev,Andy Murray,hard,2,2,30,40,3
Andrey Golubev,Andy Murray,hard,2,1,40,40,3
Andrey Golubev,Andy Murray,hard,2,2,40,AD,3
Andrey Golubev,Andy Murray,hard,2,1,40,40,3
Andrey Golubev,Andy Murray,hard,2,1,AD,40,3
Andrey Golubev,Andy Murray,hard,2,1,0,0,3
Andrey Golubev,Andy Murray,hard,1,1,15,0,3
Andrey Golubev,Andy Murray,hard,1,1,30,0,3
Andrey Golubev,Andy Murray,hard,1,1,40,0,3
Andrey Golubev,Andy Murray,hard,1,1,0,0,3
Andrey Golubev,Andy Murray,hard,2,2,0,15,3
Andrey Golubev,Andy Murray,hard,2,2,0,30,3
Andrey Golubev,Andy Murray,hard,2,2,0,40,3
Andrey Golubev,Andy Murray,hard,2,1,15,40,3
Andrey Golubev,Andy Murray,hard,2,1,30,40,3
Andrey Golubev,Andy Murray,hard,2,2,0,0,3
Andrey Golubev,Andy Murray,hard,1,1,15,0,3
Andrey Golubev,Andy Murray,hard,1,2,15,15,3
Andrey Golubev,Andy Murray,hard,1,1,30,15,3
Andrey Golubev,Andy Murray,hard,1,1,40,15,3
Andrey Golubev,Andy Murray,hard,1,1,0,0,3
Andrey Golubev,Andy Murray,hard,2,1,15,0,4
Andrey Golubev,Andy Murray,hard,2,2,15,15,4
Andrey Golubev,Andy Murray,hard,2,2,15,30,4
Andrey Golubev,Andy Murray,hard,2,2,15,40,4
Andrey Golubev,Andy Murray,hard,2,1,30,40,4
Andrey Golubev,Andy Murray,hard,2,2,0,0,4
Andrey Golubev,Andy Murray,hard,1,2,0,15,4
Andrey Golubev,Andy Murray,hard,1,2,0,30,4
Andrey Golubev,Andy Murray,hard,1,1,15,30,4
Andrey Golubev,Andy Murray,hard,1,2,15,40,4
Andrey Golubev,Andy Murray,hard,1,1,30,40,4
Andrey Golubev,Andy Murray,hard,1,1,40,40,4
Andrey Golubev,Andy Murray,hard,1,2,40,AD,4
Andrey Golubev,Andy Murray,hard,1,2,0,0,4
Andrey Golubev,Andy Murray,hard,2,2,0,15,4
Andrey Golubev,Andy Murray,hard,2,1,15,15,4
Andrey Golubev,Andy Murray,hard,2,2,15,30,4
Andrey Golubev,Andy Murray,hard,2,2,15,40,4
Andrey Golubev,Andy Murray,hard,2,1,30,40,4
Andrey Golubev,Andy Murray,hard,2,2,0,0,4
Andrey Golubev,Andy Murray,hard,1,1,15,0,4
Andrey Golubev,Andy Murray,hard,1,2,15,15,4
Andrey Golubev,Andy Murray,hard,1,2,15,30,4
Andrey Golubev,Andy Murray,hard,1,1,30,30,4
Andrey Golubev,Andy Murray,hard,1,2,30,40,4
Andrey Golubev,Andy Murray,hard,1,1,40,40,4
Andrey Golubev,Andy Murray,hard,1,1,AD,40,4
Andrey Golubev,Andy Murray,hard,1,1,0,0,4
Andrey Golubev,Andy Murray,hard,2,2,0,15,4
Andrey Golubev,Andy Murray,hard,2,2,0,30,4
Andrey Golubev,Andy Murray,hard,2,1,15,30,4
Andrey Golubev,Andy Murray,hard,2,2,15,40,4
Andrey Golubev,Andy Murray,hard,2,1,30,40,4
Andrey Golubev,Andy Murray,hard,2,2,0,0,4
Andrey Golubev,Andy Murray,hard,1,1,15,0,4
Andrey Golubev,Andy Murray,hard,1,2,15,15,4
Andrey Golubev,Andy Murray,hard,1,2,15,30,4
Andrey Golubev,Andy Murray,hard,1,1,30,30,4
Andrey Golubev,Andy Murray,hard,1,1,40,30,4
Andrey Golubev,Andy Murray,hard,1,1,0,0,4
Andrey Golubev,Andy Murray,hard,2,2,0,15,4
Andrey Golubev,Andy Murray,hard,2,1,15,15,4
Andrey Golubev,Andy Murray,hard,2,2,15,30,4
Andrey Golubev,Andy Murray,hard,2,2,15,40,4
Andrey Golubev,Andy Murray,hard,2,2,0,0,4
Andrey Golubev,Andy Murray,hard,1,1,15,0,4
Andrey Golubev,Andy Murray,hard,1,1,30,0,4
Andrey Golubev,Andy Murray,hard,1,1,40,0,4
Andrey Golubev,Andy Murray,hard,1,1,0,0,4
Andrey Golubev,Andy Murray,hard,2,2,0,15,4
Andrey Golubev,Andy Murray,hard,2,2,0,30,4
Andrey Golubev,Andy Murray,hard,2,2,0,40,4
Andrey Golubev,Andy Murray,hard,2,1,15,40,4
Andrey Golubev,Andy Murray,hard,2,1,30,40,4
Andrey Golubev,Andy Murray,hard,2,2,0,0,4
Tomas Berdych,Peter Polansky,hard,0,0,0,0,1
Tomas Berdych,Peter Polansky,hard,1,1,15,0,1
Tomas Berdych,Peter Polansky,hard,1,1,30,0,1
Tomas Berdych,Peter Polansky,hard,1,1,40,0,1
Tomas Berdych,Peter Polansky,hard,1,1,0,0,1
Tomas Berdych,Peter Polansky,hard,2,2,0,15,1
Tomas Berdych,Peter Polansky,hard,2,2,0,30,1
Tomas Berdych,Peter Polansky,hard,2,2,0,40,1
Tomas Berdych,Peter Polansky,hard,2,1,15,40,1
Tomas Berdych,Peter Polansky,hard,2,1,30,40,1
Tomas Berdych,Peter Polansky,hard,2,1,40,40,1
Tomas Berdych,Peter Polansky,hard,2,1,AD,40,1
Tomas Berdych,Peter Polansky,hard,2,1,0,0,1
Tomas Berdych,Peter Polansky,hard,1,2,0,15,1
Tomas Berdych,Peter Polansky,hard,1,1,15,15,1
Tomas Berdych,Peter Polansky,hard,1,2,15,30,1
Tomas Berdych,Peter Polansky,hard,1,1,30,30,1
Tomas Berdych,Peter Polansky,hard,1,1,40,30,1
Tomas Berdych,Peter Polansky,hard,1,2,40,40,1
Tomas Berdych,Peter Polansky,hard,1,1,AD,40,1
Tomas Berdych,Peter Polansky,hard,1,1,0,0,1
Tomas Berdych,Peter Polansky,hard,2,1,15,0,1
Tomas Berdych,Peter Polansky,hard,2,2,15,15,1
Tomas Berdych,Peter Polansky,hard,2,2,15,30,1
Tomas Berdych,Peter Polansky,hard,2,1,30,30,1
Tomas Berdych,Peter Polansky,hard,2,1,40,30,1
Tomas Berdych,Peter Polansky,hard,2,2,40,40,1
Tomas Berdych,Peter Polansky,hard,2,2,40,AD,1
Tomas Berdych,Peter Polansky,hard,2,2,0,0,1
Tomas Berdych,Peter Polansky,hard,1,2,0,15,1
Tomas Berdych,Peter Polansky,hard,1,1,15,15,1
Tomas Berdych,Peter Polansky,hard,1,2,15,30,1
Tomas Berdych,Peter Polansky,hard,1,1,30,30,1
Tomas Berdych,Peter Polansky,hard,1,1,40,30,1
Tomas Berdych,Peter Polansky,hard,1,1,0,0,1
Tomas Berdych,Peter Polansky,hard,2,1,15,0,1
Tomas Berdych,Peter Polansky,hard,2,1,30,0,1
Tomas Berdych,Peter Polansky,hard,2,2,30,15,1
Tomas Berdych,Peter Polansky,hard,2,2,30,30,1
Tomas Berdych,Peter Polansky,hard,2,2,30,40,1
Tomas Berdych,Peter Polansky,hard,2,2,0,0,1
Tomas Berdych,Peter Polansky,hard,1,2,0,15,1
Tomas Berdych,Peter Polansky,hard,1,1,15,15,1
Tomas Berdych,Peter Polansky,hard,1,1,30,15,1
Tomas Berdych,Peter Polansky,hard,1,1,40,15,1
Tomas Berdych,Peter Polansky,hard,1,1,0,0,1
Tomas Berdych,Peter Polansky,hard,2,2,0,15,1
Tomas Berdych,Peter Polansky,hard,2,2,0,30,1
Tomas Berdych,Peter Polansky,hard,2,2,0,40,1
Tomas Berdych,Peter Polansky,hard,2,2,0,0,1
Tomas Berdych,Peter Polansky,hard,1,1,15,0,1
Tomas Berdych,Peter Polansky,hard,1,2,15,15,1
Tomas Berdych,Peter Polansky,hard,1,1,30,15,1
Tomas Berdych,Peter Polansky,hard,1,1,40,15,1
Tomas Berdych,Peter Polansky,hard,1,2,40,30,1
Tomas Berdych,Peter Polansky,hard,1,1,0,0,1
Tomas Berdych,Peter Polansky,hard,2,1,15,0,2
Tomas Berdych,Peter Polansky,hard,2,2,15,15,2
Tomas Berdych,Peter Polansky,hard,2,2,15,30,2
Tomas Berdych,Peter Polansky,hard,2,2,15,40,2
Tomas Berdych,Peter Polansky,hard,2,1,30,40,2
Tomas Berdych,Peter Polansky,hard,2,2,0,0,2
Tomas Berdych,Peter Polansky,hard,1,1,15,0,2
Tomas Berdych,Peter Polansky,hard,1,2,15,15,2
Tomas Berdych,Peter Polansky,hard,1,1,30,15,2
Tomas Berdych,Peter Polansky,hard,1,1,40,15,2
Tomas Berdych,Peter Polansky,hard,1,1,0,0,2
Tomas Berdych,Peter Polansky,hard,2,1,15,0,2
Tomas Berdych,Peter Polansky,hard,2,1,30,0,2
Tomas Berdych,Peter Polansky,hard,2,2,30,15,2
Tomas Berdych,Peter Polansky,hard,2,2,30,30,2
Tomas Berdych,Peter Polansky,hard,2,2,30,40,2
Tomas Berdych,Peter Polansky,hard,2,1,40,40,2
Tomas Berdych,Peter Polansky,hard,2,1,AD,40,2
Tomas Berdych,Peter Polansky,hard,2,1,0,0,2
Tomas Berdych,Peter Polansky,hard,1,1,15,0,2
Tomas Berdych,Peter Polansky,hard,1,1,30,0,2
Tomas Berdych,Peter Polansky,hard,1,2,30,15,2
Tomas Berdych,Peter Polansky,hard,1,1,40,15,2
Tomas Berdych,Peter Polansky,hard,1,1,0,0,2
Tomas Berdych,Peter Polansky,hard,2,2,0,15,2
Tomas Berdych,Peter Polansky,hard,2,2,0,30,2
Tomas Berdych,Peter Polansky,hard,2,1,15,30,2
Tomas Berdych,Peter Polansky,hard,2,2,15,40,2
Tomas Berdych,Peter Polansky,hard,2,2,0,0,2
Tomas Berdych,Peter Polansky,hard,1,1,15,0,2
Tomas Berdych,Peter Polansky,hard,1,1,30,0,2
Tomas Berdych,Peter Polansky,hard,1,1,40,0,2
Tomas Berdych,Peter Polansky,hard,1,1,0,0,2
Tomas Berdych,Peter Polansky,hard,2,2,0,15,2
Tomas Berdych,Peter Polansky,hard,2,2,0,30,2
Tomas Berdych,Peter Polansky,hard,2,1,15,30,2
Tomas Berdych,Peter Polansky,hard,2,2,15,40,2
Tomas Berdych,Peter Polansky,hard,2,2,0,0,2
Tomas Berdych,Peter Polansky,hard,1,1,15,0,2
Tomas Berdych,Peter Polansky,hard,1,1,30,0,2
Tomas Berdych,Peter Polansky,hard,1,1,40,0,2
Tomas Berdych,Peter Polansky,hard,1,1,0,0,2
Tomas Berdych,Peter Polansky,hard,2,2,0,15,2
Tomas Berdych,Peter Polansky,hard,2,2,0,30,2
Tomas Berdych,Peter Polansky,hard,2,2,0,40,2
Tomas Berdych,Peter Polansky,hard,2,1,15,40,2
Tomas Berdych,Peter Polansky,hard,2,2,0,0,2
Tomas Berdych,Peter Polansky,hard,1,1,15,0,2
Tomas Berdych,Peter Polansky,hard,1,1,30,0,2
Tomas Berdych,Peter Polansky,hard,1,1,40,0,2
Tomas Berdych,Peter Polansky,hard,1,2,40,15,2
Tomas Berdych,Peter Polansky,hard,1,2,40,30,2
Tomas Berdych,Peter Polansky,hard,1,1,0,0,2
Tomas Berdych,Peter Polansky,hard,2,2,0,15,3
Tomas Berdych,Peter Polansky,hard,2,1,15,15,3
Tomas Berdych,Peter Polansky,hard,2,2,15,30,3
Tomas Berdych,Peter Polansky,hard,2,2,15,40,3
Tomas Berdych,Peter Polansky,hard,2,1,30,40,3
Tomas Berdych,Peter Polansky,hard,2,1,40,40,3
Tomas Berdych,Peter Polansky,hard,2,2,40,AD,3
Tomas Berdych,Peter Polansky,hard,2,1,40,40,3
Tomas Berdych,Peter Polansky,hard,2,2,40,AD,3
Tomas Berdych,Peter Polansky,hard,2,2,0,0,3
Tomas Berdych,Peter Polansky,hard,1,2,0,15,3
Tomas Berdych,Peter Polansky,hard,1,2,0,30,3
Tomas Berdych,Peter Polansky,hard,1,1,15,30,3
Tomas Berdych,Peter Polansky,hard,1,1,30,30,3
Tomas Berdych,Peter Polansky,hard,1,2,30,40,3
Tomas Berdych,Peter Polansky,hard,1,1,40,40,3
Tomas Berdych,Peter Polansky,hard,1,2,40,AD,3
Tomas Berdych,Peter Polansky,hard,1,1,40,40,3
Tomas Berdych,Peter Polansky,hard,1,1,AD,40,3
Tomas Berdych,Peter Polansky,hard,1,2,40,40,3
Tomas Berdych,Peter Polansky,hard,1,2,40,AD,3
Tomas Berdych,Peter Polansky,hard,1,2,0,0,3
Tomas Berdych,Peter Polansky,hard,2,1,15,0,3
Tomas Berdych,Peter Polansky,hard,2,1,30,0,3
Tomas Berdych,Peter Polansky,hard,2,1,40,0,3
Tomas Berdych,Peter Polansky,hard,2,1,0,0,3
Tomas Berdych,Peter Polansky,hard,1,2,0,15,3
Tomas Berdych,Peter Polansky,hard,1,1,15,15,3
Tomas Berdych,Peter Polansky,hard,1,1,30,15,3
Tomas Berdych,Peter Polansky,hard,1,2,30,30,3
Tomas Berdych,Peter Polansky,hard,1,1,40,30,3
Tomas Berdych,Peter Polansky,hard,1,2,40,40,3
Tomas Berdych,Peter Polansky,hard,1,1,AD,40,3
Tomas Berdych,Peter Polansky,hard,1,2,40,40,3
Tomas Berdych,Peter Polansky,hard,1,1,AD,40,3
Tomas Berdych,Peter Polansky,hard,1,1,0,0,3
Tomas Berdych,Peter Polansky,hard,2,1,15,0,3
Tomas Berdych,Peter Polansky,hard,2,2,15,15,3
Tomas Berdych,Peter Polansky,hard,2,2,15,30,3
Tomas Berdych,Peter Polansky,hard,2,1,30,30,3
Tomas Berdych,Peter Polansky,hard,2,2,30,40,3
Tomas Berdych,Peter Polansky,hard,2,2,0,0,3
Tomas Berdych,Peter Polansky,hard,1,2,0,15,3
Tomas Berdych,Peter Polansky,hard,1,2,0,30,3
Tomas Berdych,Peter Polansky,hard,1,2,0,40,3
Tomas Berdych,Peter Polansky,hard,1,1,15,40,3
Tomas Berdych,Peter Polansky,hard,1,1,30,40,3
Tomas Berdych,Peter Polansky,hard,1,1,40,40,3
Tomas Berdych,Peter Polansky,hard,1,1,AD,40,3
Tomas Berdych,Peter Polansky,hard,1,1,0,0,3
Tomas Berdych,Peter Polansky,hard,2,2,0,15,3
Tomas Berdych,Peter Polansky,hard,2,1,15,15,3
Tomas Berdych,Peter Polansky,hard,2,2,15,30,3
Tomas Berdych,Peter Polansky,hard,2,2,15,40,3
Tomas Berdych,Peter Polansky,hard,2,2,0,0,3
Tomas Berdych,Peter Polansky,hard,1,1,15,0,3
Tomas Berdych,Peter Polansky,hard,1,2,15,15,3
Tomas Berdych,Peter Polansky,hard,1,1,30,15,3
Tomas Berdych,Peter Polansky,hard,1,1,40,15,3
Tomas Berdych,Peter Polansky,hard,1,1,0,0,3
Tomas Berdych,Peter Polansky,hard,2,1,15,0,3
Tomas Berdych,Peter Polansky,hard,2,2,15,15,3
Tomas Berdych,Peter Polansky,hard,2,1,30,15,3
Tomas Berdych,Peter Polansky,hard,2,1,40,15,3
Tomas Berdych,Peter Polansky,hard,2,2,40,30,3
Tomas Berdych,Peter Polansky,hard,2,1,0,0,3
Tomas Berdych,Peter Polansky,hard,1,1,15,0,3
Tomas Berdych,Peter Polansky,hard,1,1,30,0,3
Tomas Berdych,Peter Polansky,hard,1,1,40,0,3
Tomas Berdych,Peter Polansky,hard,1,2,40,15,3
Tomas Berdych,Peter Polansky,hard,1,1,0,0,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,0,0,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,30,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,40,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,15,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,15,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,15,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,30,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,40,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,40,AD,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,30,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,40,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,15,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,30,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,40,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,15,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,30,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,1
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,15,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,15,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,15,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,AD,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,30,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,30,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,40,AD,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,AD,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,30,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,40,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,2
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,15,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,15,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,15,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,30,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,30,40,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,40,40,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,AD,40,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,40,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,40,AD,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,2,0,0,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,15,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,1,15,15,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,15,30,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,15,40,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,2,2,0,0,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,15,0,3
Somdev Devvarman,Aleksandr Nedovyesov,hard,1,1,30,0,3
